NN_model/restful-blaze-14model.trc
ref_mesh,scan_mesh,Absolute deviation mean of single scan,Absolute deviation mean of average scan,Absolute deviation mean of CNN output,Absolute deviation mean of (single scan - average scan),Absolute deviation mean of (CNN output - average scan),STD of single scan,STD of average scan,STD of CNN output,STD of (single scan - average scan),STD of (CNN output - average scan)
cad_model/test_part_1_light.stl,scan_data/test_part_1_light.2/A3.stl,0.055467509474083715,0.0465023813004271,0.05296453043453861,0.01755035405235695,0.021823436771364342,0.08835085002727239,0.0764471287045998,0.07597737611174428,0.028417932274884213,0.03214911083772745
cad_model/test_part_1_light.stl,scan_data/test_part_1_light.2/A1.stl,0.04420971401368328,0.0465023813004271,0.04395866747125024,0.014922329230099072,0.02173341086266226,0.07768797065445496,0.0764471287045998,0.06823779574308593,0.02654376962965108,0.032502189555229495
cad_model/test_part_1_light.stl,scan_data/test_part_1_light.2/A2.stl,0.044081570815776454,0.0465023813004271,0.04367988991541134,0.016330188568184346,0.022830934683999052,0.07681415582668319,0.0764471287045998,0.06688908019966358,0.030134032989429026,0.03528640005178953
cad_model/test_part_1_light.stl,scan_data/test_part_1_light.2/A4.stl,0.04803935235615036,0.0465023813004271,0.046933564744463294,0.016535285161012506,0.02228225543664203,0.08558970863031998,0.0764471287045998,0.07408180813021678,0.03564325700448248,0.03648874442291097
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.1/2-6.stl,0.04580667709257848,0.04444118788391421,0.04277345281139291,0.00586361925216501,0.012441428670319,0.0676962878361803,0.06586556073412803,0.061485274454814894,0.008641216197791707,0.01848320067935151
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.1/2-3.stl,0.04465372100149589,0.04444118788391421,0.04217798998662038,0.004218882265355714,0.011979600471059818,0.0663927598184162,0.06586556073412803,0.06104882210516696,0.006412456552359017,0.017455490377348417
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.1/2-4.stl,0.04465336000902736,0.04444118788391421,0.04211137398899349,0.004721652948060824,0.012441393285930883,0.06589515823734694,0.06586556073412803,0.06065060257319327,0.007225635931971094,0.017999588960291843
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.1/2-5.stl,0.044501612153769535,0.04444118788391421,0.04199615114107483,0.004670565126219234,0.012366809337636816,0.06541126262798594,0.06586556073412803,0.06023557662569568,0.007473711548414834,0.01791979132709729
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.1/2-2.stl,0.04373321715592524,0.04444118788391421,0.04115993397854728,0.004753264298677842,0.012346788034084519,0.06456868881266571,0.06586556073412803,0.059176443147299425,0.007228358556329382,0.01811374931307186
cad_model/mod_nist_light.stl,scan_data/mod_nist_light.1/2-1.stl,0.04493515213549349,0.04444118788391421,0.04208750029069301,0.005142236246397243,0.012299477958418889,0.0677930907083468,0.06586556073412803,0.0615326144849998,0.008418534071056333,0.0179868447983446
